Date,Brent Crude Oil,Dubai Crude Oil,Arabica Coffee,Robusta Coffee,Colombo Tea,Kolkata Tea,Mombasa Tea,European Sugar,US Sugar,World Sugar
2023-06-10,100,90,200,150,100,120,110,150,130,140
2023-06-11,110,95,210,160,110,130,120,160,140,150
2023-06-12,120,100,220,170,120,140,130,170,150,160
2023-06-13,130,105,230,180,130,150,140,180,160,170
2023-06-14,140,110,240,190,140,160,150,190,170,180
2023-06-15,150,115,250,200,150,170,160,200,180,190
2023-06-16,160,120,260,210,160,180,170,210,190,200
2023-06-17,170,125,270,220,170,190,180,220,200,210
2023-06-18,180,130,280,230,180,200,190,230,210,220
2023-06-19,190,135,290,240,190,210,200,240,220,230
2023-06-20,200,140,300,250,200,220,210,250,230,240
2023-06-21,210,145,310,260,210,230,220,260,240,250
2023-06-22,220,150,320,270,220,240,230,270,250,260
2023-06-23,230,155,330,280,230,250,240,280,260,270
2023-06-24,240,160,340,290,240,260,250,290,270,280
