date,brent_crude_oil,dubai_crude_oil,arabica_coffee,robusta_coffee,colombo_tea,kolkata_tea,mombasa_tea,european_sugar,us_sugar,world_sugar
2023-06-01,100,90,10,8,15,20,25,12,10,11
2023-06-02,105,95,12,9,16,21,26,13,11,12
2023-06-03,110,100,14,10,17,22,27,14,12,13
2023-06-04,115,105,16,11,18,23,28,15,13,14
2023-06-05,120,110,18,12,19,24,29,16,14,15
2023-06-06,125,115,20,13,20,25,30,17,15,16
2023-06-07,130,120,22,14,21,26,31,18,16,17
2023-06-08,135,125,24,15,22,27,32,19,17,18
2023-06-09,140,130,26,16,23,28,33,20,18,19
2023-06-10,145,135,28,17,24,29,34,21,19,20
