Date,North Sea Oil Price,Gulf of Oman Oil Price,Arabica Coffee Price,Robusta Coffee Price,Colombo Tea Price,Kolkata Tea Price,Mombasa Tea Price,European Sugar Price,US Sugar Price,World Sugar Price
2023-06-10,100,90,200,180,150,140,130,120,110,100
2023-06-11,110,100,210,190,160,150,140,130,120,110
2023-06-12,120,110,220,200,170,160,150,140,130,120
2023-06-13,130,120,230,210,180,170,160,150,140,130
2023-06-14,140,130,240,220,190,180,170,160,150,140
2023-06-15,150,140,250,230,200,190,180,170,160,150
2023-06-16,160,150,260,240,210,200,190,180,170,160
2023-06-17,170,160,270,250,220,210,200,190,180,170
2023-06-18,180,170,280,260,230,220,210,200,190,180
2023-06-19,190,180,290,270,240,230,220,210,200,190
2023-06-20,200,190,300,280,250,240,230,220,210,200
2023-06-21,210,200,310,290,260,250,240,230,220,210
2023-06-22,220,210,320,300,270,260,250,240,230,220
2023-06-23,230,220,330,310,280,270,260,250,240,230
2023-06-24,240,230,340,320,290,280,270,260,250,240
